Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,,,,,,,,,,,,,,,,
0,"МA Мосиенко, AE Тиунова",программной логики с пользовательским интерфейсом при реинжиниринге приложений,,sysprog.info,,http://www.sysprog.info/2004/11.pdf,,54,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,2,,"… позволяет достаточно быстро обеспечить доступ с персонального компьютера на мэйнфрейм, в том … приложение на но- вой платформе, а потом продолжить модернизацию уже в … Модернизация может быть связана как с изменениями бизнес-процесса, так и с …"
2,Л Черняк,Высокопроизводительные встроенные компьютеры,2006,«Открытые системы»,informat444.narod.ru,http://informat444.narod.ru/museum/pres/pdf/cw-07-2006.pdf,https://scholar.google.com/scholar?cites=2841130236189684117&as_sdt=2005&sciodt=2007&hl=en,55,2021-08-07 17:02:08,PDF,,,,,,,,2,0.13,2,1,15,"… На пару лет от BINAC отстал первый коммерческий компьютер, знаменитый UNIVAC I, прародитель мэйнфреймов … Под руководством Долкарта была разработана УВМ ВНИИЭМ-3 и ее модернизация УВМ «В-3М», успешно использовавшиеся для управления …"
0,"АА Али, ГН Жолткевич, СЮ Игнатов",Об одном подходе к интеграции неоднородных информационных ресурсов,,mia.univer.kharkov.ua,,http://mia.univer.kharkov.ua/3/65.pdf,,56,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,3,,"… среды вычислений предприятия, построенной на базе универсальной вычислительной машины (мейнфрейм) с подсоединенными … остро проявившаяся в связи с расширением международного сотрудничества университета, модернизацией основных процессов …"
0,АН Довбышко,ЭКОНОМИЧЕСКИЕ АСПЕКТЫ ВНЕДРЕНИЯ КОРПОРАТИВНОЙ ИНФОРМАЦИОННОЙ СИСТЕМЫ,2007,Вестник университета,elibrary.ru,https://elibrary.ru/item.asp?id=25912180,,57,2021-08-07 17:02:08,,,,,,,,,0,0,0,1,14,"… двадцатого века. Это связанно с появлением больших компьютеров (мейнфреймов) … Как показывают лучшие практики, инициатива по внедрению и модернизации имеющихся КИС, главным образом, должна исходить от руководства предприятия …"
1,ЛН Сиялова,"ОАО"" Ураласбест"". Хризотил-асбест-минерал для жизни",2018,Горная промышленность,cyberleninka.ru,https://cyberleninka.ru/article/n/oao-uralasbest-hrizotil-asbest-mineral-dlya-zhizni,https://scholar.google.com/scholar?cites=14816213185720011304&as_sdt=2005&sciodt=2007&hl=en,58,2021-08-07 17:02:08,HTML,,,,,,,,1,0.33,1,1,3,"… Состоялась модернизация техники и оборудования … Идет внедрение системы ШМЕРЯАМЕ (Мэйнфрейм) - комплекса программных средств для автоматизированного … были вложены в модернизацию и реконструкцию технологических переделов, что позволяет …"
0,НИ Лиманова,ВЫЧИСЛИТЕЛЬНЫХ СИСТЕМ И КОМПЬЮТЕРНЫХ СЕТЕЙ,,109.251.126.23,,https://scholar.google.comftp://109.251.126.23/%D0%9B%D1%96%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0/%D0%90%D1%80%D1%85%D1%96%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%B0%20%D0%BA%D0%BE%D0%BC%D0%BF'%D1%8E%D1%82%D0%B5%D1%80%D0%B0/Limanova_Arhitektura_vychislitelnyh_sistem_i_komp'uternyh_setej_uchebnoe_posobie.pdf,,59,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,1,,Page 1. Н.И. Лиманова АРХИТЕКТУРА ВЫЧИСЛИТЕЛЬНЫХ СИСТЕМ И КОМПЬЮТЕРНЫХ СЕТЕЙ Учебное пособие Page 2. 3 СПИСОК СОКРАЩЕНИЙ АЛУ - арифметико-логическое устройство АЦП - аналого-цифровой …
0,"ИИ Астровский, ВЮ Цветков, ИА Борискевич",Протоколы и системы IP-телефонии и видео-конференц-связи: учебно-методическое пособие,2017,,БГУИР,,,60,2021-08-07 17:02:08,CITATION,,,,,,,,0,0,0,3,4,
530,"ВЛ Бройдо, ОП Ильина","Вычислительные системы, сети и телекоммуникации: Учебник для вузов. 4-е изд.",2010,,books.google.com,https://books.google.com/books?hl=en&lr=&id=i0kHc70itdMC&oi=fnd&pg=PA17&dq=%D0%BC%D0%BE%D0%B4%D0%B5%D1%80%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%D0%BC%D0%B5%D0%B9%D0%BD%D1%84%D1%80%D0%B5%D0%B9%D0%BC%D0%BE%D0%B2&ots=hjZ_aXhQcm&sig=HUoDR_z2erzV95cFeWY5onvxEnA,https://scholar.google.com/scholar?cites=13913367684741383411&as_sdt=2005&sciodt=2007&hl=en,61,2021-08-07 17:02:08,BOOK,,,,,,,,530,48.18,265,2,11,"Page 1. 4/e/5//И/К для вузов Page 2. Page 3. УЧЕБНИК 7/ "" для вузов В.Л. Бройдо, О.П. Ильина Вычислительные Системы, сети и телекоммуникации 4-е издание Допущено Министерством образования и науки Российской …"
63,"М Бхуптани, Ш Морадпур",RFID-технологии на службе вашего бизнеса,2007,,books.google.com,https://books.google.com/books?hl=en&lr=&id=N-_HboGO7ckC&oi=fnd&pg=PA3&dq=%D0%BC%D0%BE%D0%B4%D0%B5%D1%80%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%D0%BC%D0%B5%D0%B9%D0%BD%D1%84%D1%80%D0%B5%D0%B9%D0%BC%D0%BE%D0%B2&ots=e-HSwft4HZ&sig=1E-Prkh6plR6WQXlmNqmAnTA_v8,https://scholar.google.com/scholar?cites=7259234076459219808&as_sdt=2005&sciodt=2007&hl=en,62,2021-08-07 17:02:08,BOOK,,,,,,,,63,4.5,32,2,14,"… в частности, из компаний-интеграторов) и пред- ставителям бизнеса, желающим при помощи технической модернизации под- нять бизнес … Сначала тысячи мейнфреймов и мини-компью- теров позволяли коллективно работать с коммерческой информацией …"
0,МА Качанов,"Формирование электронной среды учреждения высшего профессионального образования как фактор, облегчающий процесс передачи знаний и повышения …",2010,… кадрового обеспечения сферы культуры и искусства …,elibrary.ru,https://elibrary.ru/item.asp?id=24875976,,63,2021-08-07 17:02:08,,,,,,,,,0,0,0,1,11,"… Им пришлось адаптироваться к новым организационно-экономическим условиям, модернизировать методы работы … В сентябре 2005 года произошла модернизации системы доступа к информации в … NT 4.0 TSE и многих других платформ, включая мейнфреймы …"
0,"МА Мирошниченко, АВ Трипутень",ВОЗМОЖНОСТИ И ПРИНЦИПЫ РЕАЛИЗАЦИИ КОНЦЕПЦИИ ЦИФРОВОГО ОБЩЕСТВА В РОССИИ,2020,Проблемы общества и экономики …,elibrary.ru,https://elibrary.ru/item.asp?id=42944412,,64,2021-08-07 17:02:08,,,,,,,,,0,0,0,2,1,"… Таблица 1 - Тренд развитие цифровой революции Период Характеристика Описание 1960-е Мейнфреймы и базы дан … кон-курентоспособности экономики и в стимулировании экономического роста, потому что они запускают модернизацию традиционных отрас …"
0,ЕМ Мартишин,ДИСКРЕТНАЯ ПРИРОДА ИННОВАЦИОННОЙ АКТИВНОСТИ В ЭКОНОМИЧЕСКОМ РАЗВИТИИ,2019,Глобализация экономики и российские …,science.npi-tu.ru,http://science.npi-tu.ru/storage/app/media/2019/doc/Nie/q%D0%A1%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA%20%D0%93%D0%BB%D0%BE%D0%B1%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F-2019%20(1%20%D1%87%D0%B0%D1%81%D1%82%D1%8C).pdf#page=164,,65,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,1,2,"… и с течением времени разделяется на сег- менты: мэйнфреймы, мини-ЭВМ … и устранение монополизма в экономике, организационно-управлен- ческая модернизация, в т. ч … Гипотеза об инновационной паузе и стратегия модернизации//Во- просы экономики.–2009 …"
0,АЕ Манкевич,Совершенствование маркетинговой деятельности на основе технологий электронной коммерции для предприятия малого бизнеса,2019,,elib.sfu-kras.ru,http://elib.sfu-kras.ru/bitstream/handle/2311/125183/vkr1_mankevich_compressed.pdf?sequence=1,,66,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,1,2,"… Теоретическую и методологическую основу составили учебные пособия, материалы научных конференций, статьи о модернизации и опыте внедрения … данными, создание и разработка новых ИТ-решений или модернизация и … 1) терминалы и мейнфреймы; …"
3,ЛИ Алиева,Лучевые исследования в новых социально-экономических условиях,2004,Казанский медицинский журнал,cyberleninka.ru,https://cyberleninka.ru/article/n/10426266,https://scholar.google.com/scholar?cites=13228461719505126149&as_sdt=2005&sciodt=2007&hl=en,67,2021-08-07 17:02:08,HTML,,,,,,,,3,0.18,3,1,17,"… КТ) и магнитно-резонансные томографы (МРТ), ультразвуковые сканеры, общие архивы, мэйнфреймы от разных … Модернизация подготовки кадров обеспечивается первичной специализацией по всем направлениям диагностики, организации циклов по …"
0,"ТЛ Магомадова, МР Байтиева",МИРОВОЙ ОПЫТ РЕАЛИЗАЦИИ РЕГИОНАЛЬНОЙ ПРОМЫШЛЕННОЙ ПОЛИТИКИ,2020,Ответственный редактор,innova-science.ru,https://innova-science.ru/wp-content/uploads/2020/11/sbornik-nauchnyh-trudov-10.11.2020-irs-29.pdf#page=52,,68,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,2,1,"… им нужна промышленная поли- тика, если они хотят модернизировать свою экономику … Развитие японских мэйнфреймов и американских полупроводников (SEMATECH) выиграло от такого … заинтересовано в развитии ОЭЗ, по- скольку модернизация и инновации …"
0,ОЕ Гайнутдинова,"План-конспектурока «Информация, информационные процессы и информационноеобщество. Внутренняя архитектура компьютера. Периферийный …",,xn--j1ahfl.xn--p1ai,,https://xn--j1ahfl.xn--p1ai/library/informatciya_informatcionnie_protcessi_i_informatcionno_111609.html,,69,2021-08-07 17:02:08,HTML,,,,,,,,0,0,0,1,,Урок для учителя-предметника для всех классов по ФГОС. Методические разработки для всех классов.
1,"ГА Орлов, АВ Красов, АМ Гельфанд",Применение Big Data при анализе больших данных в компьютерных сетях,2020,Наукоемкие технологии в …,cyberleninka.ru,https://cyberleninka.ru/article/n/primenenie-big-data-pri-analize-bolshih-dannyh-v-kompyuternyh-setyah,https://scholar.google.com/scholar?cites=9263813061373147599&as_sdt=2005&sciodt=2007&hl=en,70,2021-08-07 17:02:08,HTML,,,,,,,,1,1,0,3,1,"… первых, в своем роде серверов с высокой производительностью, к примеру, мэйнфреймов, которые имеют … наиболее эффективно работать с такими объемами информации, разработчикам была поставлена задача модернизировать инструменты, применяемые …"
2,Е Зараменских,Управление жизненным циклом информационных систем 2-е изд. Учебник и практикум для вузов,2021,,books.google.com,https://books.google.com/books?hl=en&lr=&id=iyQhEAAAQBAJ&oi=fnd&pg=PA78&dq=%D0%BC%D0%BE%D0%B4%D0%B5%D1%80%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%D0%BC%D0%B5%D0%B9%D0%BD%D1%84%D1%80%D0%B5%D0%B9%D0%BC%D0%BE%D0%B2&ots=KXjSJJcs74&sig=13skOD-DirHu5PIQzw4dn7hZv0Q,https://scholar.google.com/scholar?cites=10525750414264118616&as_sdt=2005&sciodt=2007&hl=en,71,2021-08-07 17:02:08,BOOK,,,,,,,,2,2,2,1,1,… 3.6. Эксплуатация ..... 159 3.6.1. Сопровождение эксплуатации ..... 160 3.6.2. Модернизация ..... 167 3.7. Утилизация …
0,"МО Курбанклычев, ИВ Овсяникова","РАЗРАБОТКА ИНФОРМАЦИОННОЙ СИСТЕМЫ ДЛЯ ООО"" ЖИВМАШ""",2018,Экосистема цифровой экономики …,elibrary.ru,https://elibrary.ru/item.asp?id=32871839,,72,2021-08-07 17:02:08,,,,,,,,,0,0,0,2,3,"… годов централизованная вычислительная модель типа «мэйнфрейм-терминалы» непосредственно … приложения администрирования, функционировавшие на мэйнфреймах, и производителям … Необходимость модернизации существующей ИС и создание новой …"
117,ИП Норенков,Автоматизированнное проектирование,2000,,elib.bsut.by,http://elib.bsut.by/bitstream/handle/123456789/1201/norenkov_avtom_proekt.pdf?sequence=1&isAllowed=y,https://scholar.google.com/scholar?cites=9724397144147402398&as_sdt=2005&sciodt=2007&hl=en,73,2021-08-07 17:02:08,PDF,,,,,,,,117,5.57,117,1,21,"… систем автоматизированного проектирования (САПР) основано на использовании вычисли- тельных сетей и телекоммуникационных технологий, в САПР используются персональные компью- теры и рабочие станции, есть примеры применения мейнфреймов …"
0,"НВ Евтюхин, ВИ Король",Супервычисления и суперкомпьютеры,2001,Телекоммуникации и информатизация …,elibrary.ru,https://elibrary.ru/item.asp?id=9228890,,74,2021-08-07 17:02:08,,,,,,,,,0,0,0,2,20,"… больших универсальных компьютерах, называемых обычно мэйнфреймами, невозможно, точнее … высокой производительностью, чем серийно выпускаемые мэйнфреймы, может считаться … университете (УГТУ) выполнен проект модернизации корпоративной сети …"
,,,,,,,,,,,,,,,,,,,,,,,
2,"КАИ Трелевская, МА Мирошниченко",Инновации в банковском секторе как вектор развития экосистемы цифровой экономики России,2017,Экономика знаний в России: от …,elibrary.ru,https://elibrary.ru/item.asp?id=30347345,https://scholar.google.com/scholar?cites=10338903316112842800&as_sdt=2005&sciodt=2007&hl=en,76,2021-08-07 17:02:08,,,,,,,,,2,0.5,1,2,4,"… долларов Здесь банковская инновация - это вектор развития, процесс модернизации деятельности банка, совершенствования его продук-тов и услуг, а … в сети Интернет, храня свои данные дис-кретно в облачных хранилищах или на специальных мейнфреймах …"
3,"ОИ Шелухин, ВМ Артюшенко",Интегрированная система управления информационной инфраструктурой «интеллектуального здания»,2008,… и информационные комплексы и …,cyberleninka.ru,https://cyberleninka.ru/article/n/14729104,https://scholar.google.com/scholar?cites=5730805866771893524&as_sdt=2005&sciodt=2007&hl=en,77,2021-08-07 17:02:08,HTML,,,,,,,,3,0.23,2,2,13,"… Дальнейшее расширение и модернизация данных систем были сложными и … Минимизация стоимости обслуживания и модернизации систем здания, что должно … мно- гоплатформенность на всех уровнях: разные компьютеры (мейнфреймы, серверы, рабочие …"
15,"НГ Выжимова, ЕЮ Иванова…",Цифровизация управления как фактор развития современного государства,2018,Бюллетень науки и …,cyberleninka.ru,https://cyberleninka.ru/article/n/18382309,https://scholar.google.com/scholar?cites=6494193823364669841&as_sdt=2005&sciodt=2007&hl=en,78,2021-08-07 17:02:08,HTML,,,,,,,,15,5,5,3,3,"… 1 Электронное правительство (e-govemment) Мэйнфреймы / выделенные серверы, вычислительные мощности оконечных … узким кругом лиц, непрозрачности управления, отсутствия или недостаточности процессов модернизации социальной, экономической …"
1,"ДЕ Морковкин, ЮГ Едигарева…",Сети 5G: их роль в развитии транспортных систем,2020,Путеводитель …,pp-mag.ru,https://www.pp-mag.ru/jour/article/view/1422,https://scholar.google.com/scholar?cites=11552744866958157688&as_sdt=2005&sciodt=2007&hl=en,79,2021-08-07 17:02:08,,,,,,,,,1,1,0,3,1,… Развитие технологий коснулось и интернетного трафика. С каждым месяцем в мире происходит какое либо улучшение или модернизация в этой области. Особенно это каса ется развитых стран … Основной компьютер по другому еще назывался «мэйнфрэйм» …
0,"ЕГ Курцев, СИ Жебровский, АА Агаев, ЮИ Галочкин…",ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНАЯ С Е Т Ь ПЕРЕДАЧИ ДАННЫХ ПРЕДПРИЯТИЯ,,artly2000.narod.ru,,http://www.artly2000.narod.ru/study/diplom_works/networks2006/transfer_data_company/pdf_format.pdf,,80,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,5,,"… модернизации и расширения информационной инфраструктуры. После модернизации сеть должна была отвечать следующим условиям … систем, построенных на мэйнфреймах; одноранговые - в них все узлы равноправны; поскольку в общем случае …"
1,АС Куракин,Модель «Предложение-спрос» в области информационных технологий дистанционногообучения,2009,Открытое образование,cyberleninka.ru,https://cyberleninka.ru/article/n/14806424,https://scholar.google.com/scholar?cites=5754431258518994759&as_sdt=2005&sciodt=2007&hl=en,81,2021-08-07 17:02:08,HTML,,,,,,,,1,0.08,1,1,12,"… От первых вычислительных машин, работавших в режиме разделения времени и позволявших разрозненным потребителям использовать мощности мейнфреймов, до локальных и глобальных сетей … Модернизация Стабильность, стремление к простоте …"
28,НМ Розанова,Экономический анализ отрасли информационных технологий: мировой опыт и реальность России,2009,Terra economicus,cyberleninka.ru,https://cyberleninka.ru/article/n/14361962,https://scholar.google.com/scholar?cites=5072758669604046564&as_sdt=2005&sciodt=2007&hl=en,82,2021-08-07 17:02:08,HTML,,,,,,,,28,2.33,28,1,12,"… на обучение персонала, оплату лицензии, расходы по модернизации и приобретению … Поскольку модернизация программ и расширение потенциальной клиентской базы может … когда преобладающим продуктом были объемные и дорогостоящие мейнфреймы …"
7,"АГ Олейник, ЛП Ковалева",Схема оперативного прогнозирования производственных процессов обогащения руд,2011,Труды Кольского научного центра …,cyberleninka.ru,https://cyberleninka.ru/article/n/14033888,https://scholar.google.com/scholar?cites=6180844881484479491&as_sdt=2005&sciodt=2007&hl=en,83,2021-08-07 17:02:08,HTML,,,,,,,,7,0.7,4,2,10,"… процессов обогащения руд, разработку и модернизацию средств аппаратно -программного контроля производственных процессов, а также … дополнительными устройствами подключения к каналам связи, до больших вычислительных систем (мэйнфреймов) и/или …"
6,"МА Разживина, БА Якимович…",Анализ функционала ERP-систем на предприятиях машиностроения,2015,… системы в производстве,priemvf.istu.ru,http://priemvf.istu.ru/index.php/ISM/article/download/3073/1841,https://scholar.google.com/scholar?cites=16911892292542315717&as_sdt=2005&sciodt=2007&hl=en,84,2021-08-07 17:02:08,PDF,,,,,,,,6,1,2,3,6,"… процессов в масштабе всего предприятия, однако при этом программное обеспе- чение труднее модернизировать, чтобы соответство … Oracle поддерживаются вариантами (свыше 80) операционной среды в широком диапазо- не, включая мэйнфреймы IBM, мини …"
0,"СС Павлов, КА Матросов",ИНТЕЛЛЕКТУАЛЬНАЯ СИСТЕМА ОПОВЕЩЕНИЯ НА ОСНОВЕ ДИНАМИЧЕСКОЙ АДАПТИВНОЙ СЕТЕВОЙ БЕЗОПАСНОСТИ,2020,Национальная безопасность России …,elibrary.ru,https://elibrary.ru/item.asp?id=42680397,,85,2021-08-07 17:02:08,,,,,,,,,0,0,0,2,1,"… работа по усилению также включает консолидацию сетевого оборудования, систем и мэйнфреймов, использование межсетевого … Систематическое обучение и модернизация - это интеллектуальный механизм обратной связи, предназначенный для повышения …"
1,АВ Носуленко,Система автоматизированного управления процессами администрирования дистанционного обучения,2007,,static.freereferats.ru,https://static.freereferats.ru/_avtoreferats/01003310710.pdf,https://scholar.google.com/scholar?cites=12409752769346073186&as_sdt=2005&sciodt=2007&hl=en,86,2021-08-07 17:02:08,PDF,,,,,,,,1,0.07,1,1,14,"… Полученные теоретические результаты находили внедрение в системах построенных на мэйнфреймах IBM (их клонов больших ЭВМ серии ЕС) и отечественных аналогах мини и микрокомпьютеров СМ ЭВМ, ""Электроника60"", ДВК …"
3,АВ Могилев,Электронные учебники: ближайшая повестка дня,2014,Народное образование,cyberleninka.ru,https://cyberleninka.ru/article/n/elektronnye-uchebniki-blizhayshaya-povestka-dnya,https://scholar.google.com/scholar?cites=8906876266923112882&as_sdt=2005&sciodt=2007&hl=en,87,2021-08-07 17:02:08,HTML,,,,,,,,3,0.43,3,1,7,"… в школах России к электронным учебникам — давно назревшее требование времени, важный аспект модернизации образования, направленный … вместе с мейнфреймами, большими компьютерами 3-го поколения, использующими видеотерминалы и хранилища …"
0,"ВЯ Карташов, АМ Долгов",ББК 32.97 я7 П 21,2009,,researchgate.net,https://www.researchgate.net/profile/Sergei-Pachkin/publication/329000197_VYCISLITELNYE_MASINY_SISTEMY_I_SETI/links/5bef0968a6fdcc3a8ddbdc52/VYCISLITELNYE-MASINY-SISTEMY-I-SETI.pdf,,88,2021-08-07 17:02:08,PDF,,,,,,,,0,0,0,2,12,"… Владельцы System/360 могли в случае необходимости модернизировать оборудование и программное обеспечение по частям, что да- вало существенную экономию средств. Принято считать, что IBM System/360 произвела револю- цию в компьютерном мире …"
1,IV Kislovа,DEVELOPMENT OF POTATO GROWING IN THE RUSSIAN FEDERATION,2016,ББК я5: 65.9 (2) 32-4 П 25 Под общей редакцией,,,https://scholar.google.com/scholar?cites=17606241041997055631&as_sdt=2005&sciodt=2007&hl=en,89,2021-08-07 17:02:08,CITATION,,,,,,,,1,0.2,1,1,5,
0,"СВ Назаров, АГ Барсуков",ОПТИМИЗАЦИЯ ВЫЧИСЛИТЕЛЬНОГО ПРОЦЕССА ПРИ ВЫПОЛНЕНИИ ИНФОРМАЦИОННО-СВЯЗАННЫХ ЗАДАЧ В СУПЕРКОМПЬЮТЕРАХ,2019,… ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ И ИТ …,elibrary.ru,https://elibrary.ru/item.asp?id=38581941,,90,2021-08-07 17:02:08,,,,,,,,,0,0,0,2,2,"… обзор возможных архитектур, но предлагается решение оптимизации вычислительного процесса для серверов и мэйнфреймов IBM на … науки о Земле, биологии, биофизики и информатики, затрагивались все приоритетные направления модернизации России …"
0,ЕЕ Бутенко,ПЕРСПЕКТИВЫ СОТРУДНИЧЕСТВА С АО «ПО «СЕВМАШ»,2019,Современные проблемы радиоэлектроники и …,elibrary.ru,https://elibrary.ru/item.asp?id=42995507,,91,2021-08-07 17:02:08,,,,,,,,,0,0,0,1,2,"… учет, обновление и ремонт компьютерной техники; обслуживание главных вычислительных мощностей (мейнфреймов), таких как IBM Z10, в том числе [1]. Главным образом, практиканты ОАСУП занимались поддержкой и модернизацией компьютерных сетей …"
,,,,,,,,,,,,,,,,,,,,,,,
0,ВА Савельев,АНАЛИЗ МОДЕЛЕЙ РАЗГРАНИЧЕНИЯ ДОСТУПА В ИНФОРМАЦИОННЫХ СИСТЕМАХ НА ОСНОВЕ ТЕХНОЛОГИИ ОБЛАЧНЫХ ВЫЧИСЛЕНИЙ,2016,ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ В НАУКЕ …,elibrary.ru,https://elibrary.ru/item.asp?id=35307182,,93,2021-08-07 17:02:08,,,,,,,,,0,0,0,1,5,"… Частная среда облачных вычислений подразумевает, что вся ответственность по управлению и модернизации ключевых аспектов информационной … к информационным системам стали появляться еще в 60-х годах прошлого века с приходом мейнфреймов …"
